userid,libraryid,seatid,created_at,action,actionfrom
4356,2,4,2019-11-14 05:28:05,reserve,user
4356,2,4,2019-11-14 05:28:08,cancel,user
2742,2,8,2019-11-14 05:41:58,reserve,user
2742,2,8,2019-11-14 05:42:02,cancel,user
2742,2,1,2019-11-14 05:43:20,reserve,user
2742,2,1,2019-11-14 07:18:58,cancel,system
5736,2,3,2019-11-14 07:31:55,reserve,user
5736,2,3,2019-11-14 07:32:00,cancel,user
2665,2,1,2019-11-14 07:39:04,reserve,user
2665,2,1,2019-11-14 07:39:10,cancel,user
2665,2,2,2019-11-14 07:39:28,reserve,user
2665,2,2,2019-11-14 07:39:31,cancel,user
4076,2,6,2019-11-14 08:13:30,reserve,user
4076,2,6,2019-11-14 08:13:36,cancel,user
4076,2,2,2019-11-14 08:17:31,reserve,user
4076,2,2,2019-11-14 08:17:41,cancel,user
4076,2,1,2019-11-14 08:19:52,reserve,user
4076,2,1,2019-11-14 08:20:03,cancel,user
4076,2,1,2019-11-14 08:25:36,reserve,user
4076,2,1,2019-11-14 08:26:56,cancel,user
4076,2,1,2019-11-14 08:27:07,reserve,user
4076,2,1,2019-11-14 08:27:15,cancel,user
4076,2,1,2019-11-14 08:30:00,reserve,user
4076,2,1,2019-11-14 08:30:04,cancel,user
4076,2,1,2019-11-14 08:30:15,reserve,user
4076,2,1,2019-11-14 08:30:21,cancel,user
4076,2,1,2019-11-14 08:31:55,reserve,user
4076,2,1,2019-11-14 08:32:05,cancel,user
4076,2,1,2019-11-14 08:32:20,reserve,user
4076,2,1,2019-11-14 08:33:14,cancel,user
4076,2,1,2019-11-14 08:36:12,reserve,user
4076,2,1,2019-11-14 08:36:14,cancel,user
4076,2,1,2019-11-14 08:36:18,reserve,user
4076,2,1,2019-11-14 08:36:20,cancel,user
4076,2,1,2019-11-14 08:36:25,reserve,user
4076,2,1,2019-11-14 08:36:27,cancel,user
4076,2,1,2019-11-14 08:36:31,reserve,user
4076,2,1,2019-11-14 08:36:34,cancel,user
4076,2,1,2019-11-14 08:37:04,reserve,user
4076,2,1,2019-11-14 08:57:05,cancel,system
1128,2,1,2019-11-14 09:02:08,reserve,user
1128,2,1,2019-11-14 09:02:12,cancel,user
1128,2,1,2019-11-14 09:03:14,reserve,user
1128,2,1,2019-11-14 09:03:18,cancel,user
4284,2,2,2019-11-14 09:06:19,reserve,user
4284,2,2,2019-11-14 09:06:31,cancel,user
4284,2,3,2019-11-14 09:06:45,reserve,user
4284,2,3,2019-11-14 09:06:47,cancel,user
354,2,1,2019-11-14 09:38:33,reserve,user
354,2,1,2019-11-14 09:38:39,cancel,user
4076,2,1,2019-11-14 09:47:46,reserve,user
4076,2,1,2019-11-14 10:08:02,cancel,system
1089,2,8,2019-11-14 11:02:07,reserve,user
1089,2,8,2019-11-14 11:22:33,cancel,system
3347,2,4,2019-11-14 11:22:40,reserve,user
3701,2,3,2019-11-14 11:23:03,reserve,user
3701,2,3,2019-11-14 11:23:07,cancel,user
3347,2,4,2019-11-14 11:37:59,confirm,user
3347,2,4,2019-11-14 11:38:10,confirm,user
5163,2,3,2019-11-14 11:42:12,reserve,user
5163,2,3,2019-11-14 11:42:23,confirm,user
3347,2,4,2019-11-14 13:09:11,cancel,system
5163,2,3,2019-11-14 13:09:13,cancel,system
3347,2,4,2019-11-14 13:09:18,reserve,user
3347,2,4,2019-11-14 13:09:24,confirm,user
5163,2,3,2019-11-14 13:10:01,reserve,user
5163,2,3,2019-11-14 13:10:20,confirm,user
5163,2,3,2019-11-14 14:10:59,cancel,system
3347,2,4,2019-11-14 14:10:59,cancel,system
3725,2,6,2019-11-14 14:11:27,reserve,user
3725,2,6,2019-11-14 14:11:31,cancel,user
4466,2,2,2019-11-14 20:29:13,reserve,user
4466,2,2,2019-11-14 20:29:22,cancel,user
3598,2,8,2019-11-14 20:39:02,reserve,user
3598,2,8,2019-11-14 20:39:06,cancel,user
1636,2,4,2019-11-14 22:58:00,reserve,user
1636,2,4,2019-11-14 22:58:03,cancel,user
1787,2,8,2019-11-15 01:24:41,reserve,user
1787,2,8,2019-11-15 01:24:44,cancel,user
4076,2,1,2019-11-15 05:58:41,reserve,user
4076,2,1,2019-11-15 05:58:45,cancel,user
3598,2,6,2019-11-15 07:43:58,reserve,user
3598,2,6,2019-11-15 07:44:01,cancel,user
1636,2,1,2019-11-16 01:09:30,reserve,user
1636,2,1,2019-11-16 01:09:49,cancel,user
366,2,6,2019-11-16 11:38:57,reserve,user
366,2,6,2019-11-16 11:39:11,cancel,user
3755,2,1,2019-11-16 16:15:41,reserve,user
3755,2,1,2019-11-16 16:15:56,cancel,user
3755,2,1,2019-11-18 06:42:30,reserve,user
3755,2,1,2019-11-18 06:42:33,cancel,user
2742,2,8,2019-11-18 07:06:42,reserve,user
2742,2,8,2019-11-18 07:06:48,cancel,user
354,2,8,2019-11-18 12:16:43,reserve,user
354,2,8,2019-11-18 12:16:49,cancel,user
366,2,1,2019-11-18 13:31:45,reserve,user
366,2,1,2019-11-18 21:52:31,cancel,system
2179,2,1,2019-11-18 21:52:48,reserve,user
2179,2,1,2019-11-18 21:52:57,cancel,user
1201,2,5,2019-11-19 08:21:42,reserve,user
1201,2,5,2019-11-19 08:22:39,confirm,user
1201,2,5,2019-11-19 08:22:49,confirm,user
1201,2,5,2019-11-19 09:15:28,confirm,user
1201,2,5,2019-11-19 09:47:16,confirm,user
1201,2,5,2019-11-19 10:31:50,confirm,user
1201,2,5,2019-11-19 11:47:26,cancel,system
2179,2,1,2019-11-19 11:47:43,reserve,user
2179,2,1,2019-11-19 11:47:53,cancel,user
2665,2,2,2019-11-19 15:25:57,reserve,user
2665,2,2,2019-11-19 15:26:32,cancel,user
2665,2,2,2019-11-19 15:26:37,reserve,user
2665,2,2,2019-11-19 15:27:09,cancel,user
2665,2,2,2019-11-19 15:27:30,reserve,user
2665,2,2,2019-11-19 15:27:40,cancel,user
2665,2,8,2019-11-19 15:29:05,reserve,user
2665,2,8,2019-11-19 15:29:07,cancel,user
2665,2,1,2019-11-19 15:42:40,reserve,user
2665,2,1,2019-11-19 15:42:50,cancel,user
2665,2,2,2019-11-19 15:43:03,reserve,user
2665,2,2,2019-11-19 15:43:05,cancel,user
3347,2,2,2019-11-20 09:24:25,reserve,user
3347,2,2,2019-11-20 10:22:26,cancel,system
2179,2,1,2019-11-20 10:22:33,reserve,user
2179,2,1,2019-11-20 10:22:41,cancel,user
1929,2,1,2019-11-20 12:18:37,reserve,user
1929,2,1,2019-11-20 12:18:43,cancel,user
2782,2,7,2019-11-21 07:58:16,reserve,user
2782,2,7,2019-11-21 07:58:26,cancel,user
3598,2,8,2019-11-21 09:05:10,reserve,user
3598,2,8,2019-11-21 09:05:13,cancel,user
5586,2,1,2019-11-21 11:23:21,reserve,user
5586,2,1,2019-11-21 11:23:31,cancel,user
2582,2,1,2019-11-21 11:56:02,reserve,user
2582,2,1,2019-11-21 11:56:10,cancel,user
2582,2,1,2019-11-21 12:00:29,reserve,user
2582,2,1,2019-11-21 12:01:26,cancel,user
3815,2,89,2019-11-21 14:27:39,reserve,user
3815,2,89,2019-11-21 14:27:42,cancel,user
3815,2,89,2019-11-21 14:28:18,reserve,user
3815,2,89,2019-11-21 14:28:23,cancel,user
1787,2,1,2019-11-21 14:51:44,reserve,user
1089,2,2,2019-11-21 14:52:07,reserve,user
1787,2,1,2019-11-21 14:55:35,cancel,user
1089,2,2,2019-11-21 15:20:04,cancel,system
5502,2,1,2019-11-21 15:20:15,reserve,user
5502,2,1,2019-11-21 15:20:33,cancel,user
5502,2,2,2019-11-21 15:20:37,reserve,user
5502,2,2,2019-11-21 15:20:54,cancel,user
3815,2,1,2019-11-21 15:58:48,reserve,user
3815,2,1,2019-11-21 15:59:15,cancel,user
912,2,6,2019-11-21 16:25:00,reserve,user
912,2,6,2019-11-21 16:25:03,cancel,user
912,2,2,2019-11-21 16:25:12,reserve,user
912,2,2,2019-11-21 16:25:19,cancel,user
2491,2,1,2019-11-21 17:29:53,reserve,user
2491,2,1,2019-11-21 17:41:51,cancel,user
970,2,92,2019-11-22 08:27:28,reserve,user
970,2,92,2019-11-22 08:27:32,cancel,user
970,2,1,2019-11-22 08:27:39,reserve,user
970,2,1,2019-11-22 08:27:41,cancel,user
1929,2,1,2019-11-22 13:15:15,reserve,user
1929,2,1,2019-11-22 13:25:02,confirm,user
1929,2,1,2019-11-22 13:27:05,confirm,user
1929,2,1,2019-11-22 14:36:16,cancel,system
1929,2,2,2019-11-22 14:45:11,reserve,user
5502,2,1,2019-11-22 15:00:46,reserve,user
5502,2,1,2019-11-22 15:01:26,cancel,user
1929,2,2,2019-11-22 15:46:55,cancel,system
3469,2,1,2019-11-22 15:47:00,reserve,user
3469,2,1,2019-11-22 15:47:11,cancel,user
3815,2,91,2019-11-25 08:12:29,reserve,user
3815,2,91,2019-11-25 08:17:05,cancel,user
3469,2,90,2019-11-25 09:41:48,reserve,user
3469,2,90,2019-11-25 09:43:12,cancel,user
2491,2,89,2019-11-25 09:59:42,reserve,user
2491,2,89,2019-11-25 10:21:40,cancel,system
3469,2,1,2019-11-25 10:28:50,reserve,user
3469,2,1,2019-11-25 11:14:19,cancel,system
5337,2,5,2019-11-25 14:27:28,reserve,user
5337,2,5,2019-11-25 14:27:35,cancel,user
5337,2,5,2019-11-25 14:50:21,reserve,user
5337,2,5,2019-11-25 14:50:34,confirm,user
5337,2,5,2019-11-25 15:53:05,cancel,system
5337,2,5,2019-11-25 15:53:09,reserve,user
5337,2,5,2019-11-25 16:02:24,confirm,user
5337,2,5,2019-11-25 20:31:36,cancel,system
1146,2,1,2019-11-25 22:47:45,reserve,user
1146,2,1,2019-11-25 23:44:50,cancel,system
4735,2,1,2019-11-25 23:48:47,reserve,user
4735,2,1,2019-11-26 00:08:48,cancel,system
1128,2,1,2019-11-26 09:21:42,reserve,user
1128,2,1,2019-11-26 09:21:48,cancel,user
4268,2,1,2019-11-26 09:23:00,reserve,user
4268,2,1,2019-11-26 09:43:01,cancel,system
5930,2,1,2019-11-26 10:15:14,reserve,user
5930,2,1,2019-11-26 10:15:21,cancel,user
366,2,5,2019-11-26 11:32:47,reserve,user
366,2,5,2019-11-26 11:32:50,cancel,user
5337,2,5,2019-11-26 13:41:34,reserve,user
